Title,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Views,Area,Road,Road Width,Road Type,Amenities,Face
"House For Sale In Dhulikhel, Kavre","Dhulikhel near KU, Dhulikhel, Kavre",Kavre,15200000.0,11,2,3.0,2,352,817 Sq. Feet,10 Feet / Gravelled,10 Feet , Gravelled,"['Water Well', 'TV Cable', 'Water Supply', 'Wifi', 'Garage', 'Balcony', 'Fencing', 'Garden']",South East
"जोरपाटी माकलबारी सानो पुल नजिक : House For Sale In Jorpati, Kathmandu","jorpati makalbari near sano pool, Jorpati, Kathmandu",Kathmandu,21000000.0,5,3,3.0,1,173,0-3-2-0 Sq. Feet,12 Feet / Blacktopped,12 Feet , Blacktopped,"['Water Well', 'Solar Water', 'Garage', 'TV Cable', 'Parking', 'Electricity Backup', 'Store Room']",East
"Flat For Rent In Zero Km, Pokhara","Zero km pokhara, Zero Km, Pokhara",Pokhara,18000.0,1,1,2.0,1,480,0.5.3.0 Aana,14 Feet / Blacktopped,14 Feet , Blacktopped,"['Water Well', 'Internet']",East
"Brand New : House For Sale In Gongabu, Kathmandu","Dhaneshwor Temple, Gongabu, Kathmandu",Kathmandu,26000000.0,4,3,2.5,0,1400,0-3-2-0 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,"['Water Well', 'Electricity Backup', 'Parking']",East
"House For Sale In Tikathali : House For Sale In Tikathali, Lalitpur","Tikathali, Tikathali, Lalitpur",Lalitpur,130000.0,2,1,1.0,1,378,3 Aana,15 Feet,15 Feet,,"['Water Tank', 'Water Well', 'Parking']",South
"Urgent House On Sale : House For Sale In Pepsicola, Kathmandu","Harharmahadev, Pepsicola, Kathmandu",Kathmandu,13500000.0,4,3,3.0,1,5500,2.5 Aana,13 Feet / Gravelled,13 Feet , Gravelled,"['Water Tank', 'Water Well', 'Parking']",East
"SAMAKHUSI HOME : House For Sale In Samakhusi, Kathmandu","Samakhusi, Samakhusi, Kathmandu",Kathmandu,44000000.0,5,6,3.0,1,390,4 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,"['Water Tank', 'Water Supply', 'Solar Water', 'Drainage', 'Wifi', 'TV Cable']",North
"House For Sale In Bhangal, Kathmandu","Bhangal, Bhangal, Kathmandu",Kathmandu,32500000.0,4,3,3.0,1,261,0-4-2-0 Sq. Feet,26 Feet / Paved,26 Feet , Paved,"['Water Tank', 'Solar Water', 'Washing Machine', 'TV Cable', 'Garage', 'Wifi', 'Water Supply', 'Modular Kitchen']",East
"Baniyatar Tokha Home : House For Sale In Baniyatar, Kathmandu","Na, Baniyatar, Kathmandu",Kathmandu,29000000.0,6,5,3.0,1,323,4 Aana,20 Feet / Gravelled,20 Feet , Gravelled,"['Water Tank', 'Garage']",East
"Newly Constructed House : House For Sale In Tikathali, Lalitpur","changathali, Tikathali, Lalitpur",Lalitpur,20000000.0,5,2,4.0,1,988,0-4-0-0 Sq. Feet,15 Feet / Gravelled,15 Feet , Gravelled,"['Water Tank', 'Frontyard', 'Parking', 'Frontyard']",East
"Beautiful House On Rent : Office Space For Rent In Khusibu, Kathmandu","medical chowk, Khusibu, Kathmandu",Kathmandu,370000.0,17,17,4.0,0,348,6 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Water Tank', 'Balcony']",South
"Land For Sale In Pepsicola, Kathmandu","Pepsicola, Sairam Chowk, Pepsicola, Kathmandu",Kathmandu,5500000.0,0,0,3.0,0,150,4.5 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,['Water Supply'],East
"Land : Land For Sale In Dakshinkali, Kathmandu","Chalnakhel, dakshinkali-1, Dakshinkali, Kathmandu",Kathmandu,1350000.0,0,0,1.5,0,230,12 Aana,14 Feet,14 Feet,,['Water Supply'],South East
"Business For Sale In Samakhusi, Kathmandu","Kapurdhara, Samakhusi, Kathmandu",Kathmandu,550000.0,0,0,3.0,0,189,250 Sq. Feet,0 Feet,0 Feet,,['Water Supply'],East
"Business For Sale In Maitidevi, Kathmandu","Opposite Citizen Bank, Maitidevi, Kathmandu",Kathmandu,750000.0,0,0,3.0,0,228,500 Sq. Feet,0 Feet,0 Feet,,['Water Supply'],South
"Business For Sale In Kumaripati, Lalitpur","Opposite to Prabhu Bank, Kumaripati, Lalitpur",Lalitpur,1500000.0,0,0,3.0,0,220,600 Sq. Feet,0 Feet,0 Feet,,['Water Supply'],East
"Business For Sale In Koteshwor, Kathmandu","Nearby Mahadevsthan Mandir, Koteshwor, Kathmandu",Kathmandu,1300000.0,0,0,2.5,0,189,800 Sq. Feet,0 Feet,0 Feet,,['Water Supply'],East
"Business For Lease In Koteshwor, Kathmandu","Koteshwor, Koteshwor, Kathmandu",Kathmandu,1600000.0,0,0,2.5,0,207,1+ Ropani,0 Feet,0 Feet,,['Water Supply'],East
"Flat For Rent In Sanepa, Lalitpur","sanepa, Sanepa, Lalitpur",Lalitpur,19900.0,2,1,1.0,1,586,00 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,['Water Supply'],South
"House For Sale In Tikathali, Lalitpur","Tikathali, Tikathali, Lalitpur",Lalitpur,17000000.0,3,2,2.0,3,309,0-4-0-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,['Water Supply'],East
"House For Sale In Sitapaila, Kathmandu","Sitapaila, Dada Pauwa, Sitapaila, Kathmandu",Kathmandu,18000000.0,4,2,2.5,2,1200,0-3-2-0 Aana,13 Feet,13 Feet,,['Water Supply'],East
"Tikathaliko Ghar Bikrima : House For Sale In Tikathali, Lalitpur","Tikathali, Tikathali, Lalitpur",Lalitpur,22500000.0,6,3,3.0,1,344,0-3-2-0 Ropani,12 Feet / Blacktopped,12 Feet , Blacktopped,['Water Supply'],South
"Land At Bhaisepati : Land For Sale In Bhaisepati, Lalitpur","Bhaisepati, Bhaisepati, Lalitpur",Lalitpur,5500000.0,2,3,2.0,0,1700,8 Aana,20 Feet,20 Feet,,['Water Supply'],East
"House For Sale In Bhaisepati, Lalitpur","Bhaisepati, Bhaisepati, Lalitpur",Lalitpur,21000000.0,10,5,3.5,2,1500,0-4-2-0 Aana,16 Feet,16 Feet,,['Water Supply'],East
"House For Sale In Bhaisepati, Lalitpur","Bhaisepati, Bhaisepati, Lalitpur",Lalitpur,28000000.0,12,5,3.5,1,484,0-4-2-0 Aana,13 Feet,13 Feet,,['Water Supply'],West
"Bansbari Mainroad : House For Sale In Maharajgunj, Kathmandu","Bansbari mainroad, Maharajgunj, Kathmandu",Kathmandu,80000000.0,18,6,4.0,0,346,0-8-0-0 Aana,9 Meter / Soil Stabilized,9 Meter , Soil Stabilized,['Water Supply'],West
"House : House For Sale In Balkot, Bhaktapur","124, Balkot, Bhaktapur",Bhaktapur,15500000.0,4,2,3.0,1,971,3 Aana,13 Feet / Gravelled,13 Feet , Gravelled,"['Water Supply', 'Wifi', 'Balcony', 'Store Room']",North East
"House For Rent : House For Rent In Ratopul, Kathmandu","Siphal, Ratopul, Kathmandu",Kathmandu,350000.0,0,0,5.0,0,134,8 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,"['Water Supply', 'Water Well', 'Frontyard']",South East
"Office Space For Rent In Thamel, Kathmandu","Thamel, Thamel, Kathmandu",Kathmandu,120000.0,12,0,3.0,2,109,3 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,"['Water Supply', 'Water Well', 'Frontyard', 'Drainage']",East
"House For Rent : House For Rent In Sinamangal, Kathmandu","sinamangal, Sinamangal, Kathmandu",Kathmandu,200000.0,4,3,3.0,2,144,8 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,"['Water Supply', 'Water Well', 'Balcony', 'Frontyard']",East
"House For Sale In Tikathali, Lalitpur","Tikathali, Tikathali, Lalitpur",Lalitpur,9000000.0,4,1,1.0,0,535,3.2 Aana,10 Feet / Soil Stabilized,10 Feet , Soil Stabilized,"['Water Supply', 'Water Tank']",East
"K Yo Ghar Tapaiko Lagi Ho? : House For Sale In Tokha, Kathmandu","Tokha, Kathmandu, Tokha, Kathmandu",Kathmandu,26000000.0,0,0,3.0,1,1600,4 Aana,12 Feet / Gravelled,12 Feet , Gravelled,"['Water Supply', 'Water Tank', 'Drainage', 'Solar Water', 'Parking', 'Garden']",East
"House For Sale In Thulo Bharyang, Kathmandu","Thulobharang,Ekdhara, Thulo Bharyang, Kathmandu",Kathmandu,24100000.0,3,3,3.0,0,509,2.75 Aana,13 Feet / Paved,13 Feet , Paved,"['Water Supply', 'Solar Water', 'Water Well', 'Wifi', 'Water Tank', 'TV Cable']",North
"House For Sale At Chhauni Kathmandu : House For Sale In Chhauni, Kathmandu","Museum Marga, Chhauni, Kathmandu",Kathmandu,46000000.0,5,4,2.0,2,369,0-7-0-0 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,"['Water Supply', 'Solar Water', 'Water Tank', 'Frontyard', 'Garage']",West
"Flat For Rent In Jhamsikhel, Lalitpur","jhamsikhel(near British school), Jhamsikhel, Lalitpur",Lalitpur,35000.0,2,2,0.0,2,158,6 Sq. Feet,10 Feet / Soil Stabilized,10 Feet , Soil Stabilized,"['Water Supply', 'Solar Water', 'Parking']",South West
"Grandy Home : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,29000000.0,6,6,3.0,1,316,4 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,"['Water Supply', 'Solar Water', 'Drainage', 'Water Tank', 'Water Well', 'Store Room']",South East
"Radha Bhawan : Office Space For Sale In Tripureshwor, Kathmandu","5th floor, Radha Bhawan, Opposite UWTC, first left from Tripureshwor chowk towards teku., Tripureshwor, Kathmandu",Kathmandu,20000.0,1,1,2.0,2,376,1450 Sq. Feet,36 Feet,36 Feet,,"['Water Supply', 'Parking', 'Drainage', 'Solar Water', 'Water Well', 'CCTV', 'Lift', 'Electricity Backup']",South East
"Newly Built 🏠 House : House For Sale In Gongabu, Kathmandu","Ganesthan, Gongabu, Kathmandu",Kathmandu,20000000.0,0,0,0.0,2,934,3 Aana,14 Feet / Gravelled,14 Feet , Gravelled,"['Water Supply', 'Parking', 'Balcony']",East
"PD1-101, A Apartments : Flat For Rent In Patandokha, Lalitpur","Patan Dhoka, Patandokha, Lalitpur",Lalitpur,40000.0,0,0,3.0,0,631,500 Sq. Feet,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Water Supply', 'Microwave', 'Washing Machine', 'Wifi', 'Solar Water', 'Water Tank']",East
"New Ghar Bikarima Kapan Ekatabasti : House For Sale In Budhanilkantha, Kathmandu","Kapan, Budhanilkantha, Kathmandu",Kathmandu,12800000.0,2,1,1.0,2,630,3.2 Aana,12 Feet / Gravelled,12 Feet , Gravelled,"['Water Supply', 'Garden', 'Modular Kitchen', 'TV Cable', 'Water Tank']",South East
"12 Th Floor B 1 Block : Apartment For Rent In Sanepa, Lalitpur","Imperial Court, Sanepa, Lalitpur",Lalitpur,150000.0,3,3,0.0,1,814,2000 Sq. Feet,26 Feet / Blacktopped,26 Feet , Blacktopped,"['Water Supply', 'Garden', 'Maintenance', 'Balcony', 'Wifi', 'Electricity Backup', 'Air Condition', 'Gym', 'Lift', 'Parking', 'Garage', 'TV Cable', 'Microwave', 'Intercom', 'Washing Machine', 'Kids Playground', 'Swimming Pool', 'Drainage', 'Internet', 'Security Staff', 'Modular Kitchen']",South West
"House Sale At Pokhara Buspark, Chitwan : House For Sale In Bharatpur, Chitwan","Naranghat, Bharatpur, Chitwan",Chitwan,10500000.0,4,2,3.0,1,461,4 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,"['Water Supply', 'Drainage', 'Water Tank']",East
"Mandikatar Height New Home : House For Sale In Mandikatar, Kathmandu","Na, Mandikatar, Kathmandu",Kathmandu,32500000.0,8,7,4.0,1,190,4 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Water Supply', 'Drainage', 'Solar Water']",North
"Basundhara Bungalow : House For Sale In Basundhara, Kathmandu","Na, Basundhara, Kathmandu",Kathmandu,39900000.0,5,6,3.0,2,147,7 Aana,14 Feet / Blacktopped,14 Feet , Blacktopped,"['Water Supply', 'Drainage', 'Solar Water', 'Water Tank']",East
"1.5 Talle Ghar Near Grande Tower : House For Sale In Tokha, Kathmandu","Tokha, Kathmandu, Tokha, Kathmandu",Kathmandu,13200000.0,4,2,0.0,1,938,3-5 Sq. Feet,13 Feet / Gravelled,13 Feet , Gravelled,"['Water Supply', 'Drainage', 'Parking', 'Water Tank', 'Garden']",West
"House For Sale In Budhanilkantha, Kathmandu","Srijana Tole, Budhanilkantha, Kathmandu",Kathmandu,25500000.0,7,5,3.0,1,365,5 Aana,20 Feet / Gravelled,20 Feet , Gravelled,"['Water Supply', 'Drainage', 'Garage']",South East
"Newroad Office Space On Rent : Office Space For Rent In Newroad, Kathmandu","Newroad , Tebahal, Newroad, Kathmandu",Kathmandu,40000.0,1,1,7.0,0,111,620 Sq. Feet,14 Feet / Blacktopped,14 Feet , Blacktopped,"['Water Supply', 'CCTV', 'Internet', 'Store Room']",West
"House For Sale In Thasikhel, Lalitpur","Shabyatanagar, Lalitpur, Thasikhel, Lalitpur",Lalitpur,24000000.0,12,4,3.0,4,303,4 Aana,0 Feet,0 Feet,,"['Water Supply', 'Balcony', 'Water Well', 'Fencing', 'TV Cable', 'Wifi', 'Drainage']",South
"Italian/Coffee Shop/Fire Wooden Pizza/Barista Academy : Business For Sale In Kumaripati, Lalitpur","kumaripati, Kumaripati, Lalitpur",Lalitpur,2500000.0,0,0,2.0,0,258,1600sq/ft Aana,22 Meter / Soil Stabilized,22 Meter , Soil Stabilized,"['Water Supply', 'Balcony', 'TV Cable', 'Frontyard', 'Wifi', 'Gym', 'Water Tank', 'Modular Kitchen']",West
"Apartment For Sale : Apartment For Sale In Jhamsikhel, Lalitpur","Thadodhunga, Jhamsikhel, Lalitpur",Lalitpur,12000000.0,2,1,1.0,1,914,700 Sq. Feet,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Washing Machine', 'Wifi', 'Microwave', 'Balcony', 'Gym', 'Garden', 'TV Cable', 'Swimming Pool', 'Drainage']",East
"House For Sale In Banasthali, Kathmandu","Banasthali, Banasthali, Kathmandu",Kathmandu,37000000.0,7,6,4.0,1,609,0-5-0-0 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,"['Washing Machine', 'Solar Water', 'Water Tank', 'Internet', 'Microwave', 'Parking', 'Water Well', 'Water Supply', 'Drainage', 'TV Cable']",South
"Rent : Office Space For Rent In Damak, Jhapa","Damak, Damak, Jhapa",Jhapa,50000.0,0,2,4.0,4,291,0-1-0-0 Kattha,50 Feet / Alley,50 Feet , Alley,"['TV Cable', 'Wifi']",South West
"House For Sale In Tokha, Kathmandu","Tokha, Tokha, Kathmandu",Kathmandu,13000000.0,2,1,2.5,0,300,4 Aana,15 Feet / Soil Stabilized,15 Feet , Soil Stabilized,"['TV Cable', 'Wifi', 'Water Supply', 'Water Tank']",West
"House For Sale In Thulo Bharyang, Kathmandu","Thulo Bharyang, Thulo Bharyang, Kathmandu",Kathmandu,70000000.0,3,4,2.0,4,291,0-6-25-0 Aana,20 Feet,20 Feet,,"['TV Cable', 'Wifi', 'Water Supply', 'Solar Water', 'Water Tank']",West
"House For Sale In Basundhara, Kathmandu","Basundhara, Basundhara, Kathmandu",Kathmandu,23500000.0,0,0,1.5,0,448,0-3-1-0 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,"['TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",East
"House For Sale In Jorpati, Kathmandu","Jorpati, Jorpati, Kathmandu",Kathmandu,11400000.0,0,0,1.0,0,377,3 Aana,13 Feet / Gravelled,13 Feet , Gravelled,"['TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",West
"House For Sale In Hattisar, Kathmandu","Hattisar, Hattisar, Kathmandu",Kathmandu,43500000.0,6,0,3.0,0,375,0-3-2-1 Aana,20 Feet,20 Feet,,"['TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",West
"House For Sale In Kadaghari, Kathmandu","Gotthatar, Kadaghari, Kathmandu",Kathmandu,12000000.0,4,1,1.0,2,452,3 Aana,13 Feet,13 Feet,,"['TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",South East
"Budanilkantha Golfutar Home : House For Sale In Budhanilkantha, Kathmandu","Golfutar, Budhanilkantha, Kathmandu",Kathmandu,30000000.0,10,8,4.0,2,691,4 Aana,30 Feet / Blacktopped,30 Feet , Blacktopped,"['TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water']",North East
"House For Sale : House For Sale In Nakkhu, Lalitpur","Naakhu, Nakkhu, Lalitpur",Lalitpur,26500000.0,4,4,3.0,1,238,0-4-0-0 Sq. Feet,16 Feet / Gravelled,16 Feet , Gravelled,"['TV Cable', 'Water Well', 'Drainage', 'Modular Kitchen', 'Internet', 'Backyard', 'Garden', 'Store Room', 'Water Tank', 'Electricity Backup', 'Water Supply', 'Balcony', 'Parking']",East
"Flat For Rent In Satdobato, Lalitpur","Satdobato, Satdobato, Lalitpur",Lalitpur,22000.0,2,1,1.0,0,341,6 Aana,13 Feet / Soil Stabilized,13 Feet , Soil Stabilized,"['TV Cable', 'Water Supply']",South
"3.5 Storied House On Sale : House For Sale In Boudha, Kathmandu","Bhrikutichowk, Kathmandu Nepal, Boudha, Kathmandu",Kathmandu,22500000.0,0,4,4.0,4,945,0-3-0-0 Aana,12 Feet / Gravelled,12 Feet , Gravelled,"['TV Cable', 'Water Supply', 'Water Well', 'Internet']",West
"House For Sale In Tokha, Kathmandu","Nearby, Grandy Hospital, Tokha, Kathmandu",Kathmandu,11500000.0,2,1,1.0,0,537,3 Aana,13 Feet / Gravelled,13 Feet , Gravelled,"['TV Cable', 'Water Supply', 'Water Tank']",East
"1 Floor House On Sale In Sychataar Kalanki : House For Sale In Tarakeshwar, Kathmandu","Sychataar, Tarakeshwar, Kathmandu",Kathmandu,11500000.0,2,1,1.0,1,651,0-4-0-0 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,"['TV Cable', 'Solar Water', 'Water Tank', 'Water Well', 'Washing Machine']",West
"House For Sale In Imadol, Lalitpur","Gumba, Imadol, Lalitpur",Lalitpur,22000000.0,6,3,3.0,1,2000,0-3-3-0 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,"['TV Cable', 'Drainage', 'Water Well', 'Parking']",East
"Newly Built House On Sale : House For Sale In Ason, Kathmandu","Goshiphal Marg, Ason, Kathmandu",Kathmandu,17500000.0,5,3,7.0,0,552,0-0-2 Paisa,26 Feet / Blacktopped,26 Feet , Blacktopped,"['TV Cable', 'Drainage', 'Water Supply', 'Water Well', 'Water Tank']",North East
"1.5 Storied House : House For Sale In Imadol, Lalitpur","Opposite of Green hill city, Imadol, Lalitpur",Lalitpur,12500000.0,2,1,1.5,1,917,0-3-1-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,"['TV Cable', 'Drainage', 'Water Supply', 'Water Well', 'Internet', 'Parking']",South
"2.5 Storey : House For Sale In Narephate, Kathmandu","Narepthat- 32, Jadibuti., Narephate, Kathmandu",Kathmandu,22000000.0,5,2,2.5,1,13100,0-2-3-0 Aana,13 Feet / Paved,13 Feet , Paved,"['TV Cable', 'Drainage', 'Water Supply', 'Water Well', 'Internet', 'Parking']",South
"House For Sale In Imadol, Lalitpur","bhadrakali imadol, Imadol, Lalitpur",Lalitpur,10000000.0,2,2,1.0,1,3100,3 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,"['TV Cable', 'Drainage', 'Water Supply', 'Water Well', 'Internet', 'Parking']",South
"House For Sale In Satungal, Kathmandu","Satungal, Satungal, Kathmandu",Kathmandu,9500000.0,4,0,2.5,0,595,4 Aana,15 Feet / Soil Stabilized,15 Feet , Soil Stabilized,"['TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",South
"House For Sale In Gurujudhara, Kathmandu","Gurujudhara, Gurujudhara, Kathmandu",Kathmandu,8500000.0,2,1,1.0,0,542,0-3-1-0 Aana,10 Feet / Gravelled,10 Feet , Gravelled,"['TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",South
"House For Sale In Kapan, Kathmandu","Kapan, Kapan, Kathmandu",Kathmandu,15000000.0,2,1,1.0,0,514,5 Aana,11 Feet,11 Feet,,"['TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",East
"House For Sale In Itahari, Sunsari","Halgada, Itahari, Sunsari",Sunsari,6400000.0,3,1,1.0,0,905,6 Dhur,15 Feet / Soil Stabilized,15 Feet , Soil Stabilized,"['TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",South
"House For Sale In Goldhunga, Kathmandu","Nearby, Rangasala, Goldhunga, Kathmandu",Kathmandu,6500000.0,3,1,1.0,0,608,2.5 Aana,10 Feet / Soil Stabilized,10 Feet , Soil Stabilized,"['TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",South West
"House For Sale In Gongabu, Kathmandu","Nearby Indraini Bridge, Gongabu, Kathmandu",Kathmandu,12500000.0,3,5,1.0,1,517,3.25 Aana,10 Feet,10 Feet,,"['TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",North East
"House For Rent In Gongabu, Kathmandu","Gongabu, Gongabu, Kathmandu",Kathmandu,130000.0,9,3,3.0,0,455,8 Sq. Feet,12 Feet,12 Feet,,"['TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well']",North
"House For Sale In Dallu, Kathmandu","Nearby SBI bank, Dallu, Dallu, Kathmandu",Kathmandu,24000000.0,15,5,4.0,0,442,3 Aana,20 Feet,20 Feet,,"['TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well']",North West
"Bungalow For Sale At Sitapaila, Sita Homes : House For Sale In Sitapaila, Kathmandu","25 Gha, Sitapaila, Kathmandu",Kathmandu,22000000.0,3,4,3.0,1,627,3 Aana,14 Feet,14 Feet,,"['TV Cable', 'Drainage', 'Solar Water', 'Water Supply', 'Water Well']",North
"Commercial House Sale At Satungal Near By APF Hospital ,घर वा जमिनको साथ साटासाट गर्न सकिन्छ : House For Sale In Satungal, Kathmandu","satungal,kathmandu, Satungal, Kathmandu",Kathmandu,42500000.0,8,6,5.0,0,460,0-5-1-1 Aana,29 Feet,29 Feet,,"['TV Cable', 'Drainage', 'Balcony', 'Water Supply', 'Electricity Backup']",North East
"2.5 Floored House On Sale : House For Sale In Thasikhel, Lalitpur","Thashikhel-5, Near Open University Manbhawan, Amar Colony, Thasikhel, Lalitpur",Lalitpur,46500000.0,0,0,2.0,0,484,4 Aana,21 Feet / Blacktopped,21 Feet , Blacktopped,"['TV Cable', 'Balcony', 'Air Condition', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Solar Water']",South East
"House For Sale In Bafal, Kathmandu","sitapaila, Bafal, Kathmandu",Kathmandu,25500000.0,0,0,3.5,0,5100,0-4-2-0 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,"['Swimming Pool', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking']",North West
"Attractive Flat For Rent : Apartment For Rent In Dhapakhel, Lalitpur","CIVIL HOMES DHAPHAKEL, Dhapakhel, Lalitpur",Lalitpur,30000.0,2,1,3.0,1,758,790 Sq. Feet,11 Meter / Blacktopped,11 Meter , Blacktopped,"['Swimming Pool', 'Modular Kitchen', 'Water Supply', 'Electricity Backup', 'Garage', 'Balcony', 'Garden', 'Water Tank', 'Kids Playground', 'Gym', 'Lift']",South
"Fully Furnished House For Sale At Imadol, Sital Height : House For Sale In Imadol, Lalitpur","imadol, Imadol, Lalitpur",Lalitpur,23500000.0,4,4,3.0,1,465,3.75 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,"['Solar Water', 'Water Well', 'Water Tank', 'Internet', 'Microwave', 'Garden', 'Garage', 'Balcony', 'Backyard', 'Modular Kitchen', 'Washing Machine', 'Wifi', 'Kids Playground']",North East
